"Category","Description","Nutrient Data Bank Number","Data.Alpha Carotene","Data.Beta Carotene","Data.Beta Cryptoxanthin","Data.Carbohydrate","Data.Cholesterol","Data.Choline","Data.Fiber","Data.Lutein and Zeaxanthin","Data.Lycopene","Data.Niacin","Data.Protein","Data.Retinol","Data.Riboflavin","Data.Selenium","Data.Sugar Total","Data.Thiamin","Data.Water","Data.Fat.Monosaturated Fat","Data.Fat.Polysaturated Fat","Data.Fat.Saturated Fat","Data.Fat.Total Lipid","Data.Major Minerals.Calcium","Data.Major Minerals.Copper","Data.Major Minerals.Iron","Data.Major Minerals.Magnesium","Data.Major Minerals.Phosphorus","Data.Major Minerals.Potassium","Data.Major Minerals.Sodium","Data.Major Minerals.Zinc","Data.Vitamins.Vitamin A - RAE","Data.Vitamins.Vitamin B12","Data.Vitamins.Vitamin B6","Data.Vitamins.Vitamin C","Data.Vitamins.Vitamin E","Data.Vitamins.Vitamin K"
"Rabbit","Rabbit, NS as to domestic or wild, breaded, fried","23311120","0","0","0","5.06","76","107.6","0.3","0","0","6.763","27.65","0","0.178","35.6","0.44","0.122","52.18","3.879","2.814","3.39","12.16","31","0.173","2.43","21","210","278","329","2.19","0","5.75","0.308","0.0","0.66","4.2"
"Rabbit","Rabbit, wild, cooked","23311200","0","0","0","0.0","122","129.4","0.0","0","0","6.373","32.88","0","0.07","15.1","0.0","0.02","61.12","0.946","0.677","1.046","3.5","18","0.175","4.83","31","239","342","207","2.37","0","6.48","0.339","0.0","0.41","1.5"
"Venison/deer","Venison/deer, NFS","23321000","0","0","0","0.0","112","133.4","0.0","0","0","7.389","36.08","0","0.653","17.6","0.0","0.152","59.45","0.89","0.261","2.227","3.93","6","0.283","4.98","28","260","311","267","8.59","0","3.04","0.478","0.0","0.75","1.5"
"Venison/deer","Venison/deer, cured","23321050","0","0","0","0.0","110","129.9","0.0","0","0","7.19","35.11","0","0.636","17.1","0.0","0.148","57.86","0.983","0.282","2.268","4.08","7","0.276","4.85","27","253","303","1199","8.36","0","2.96","0.465","0.0","0.73","1.5"
"Venison/deer","Venison/deer, roasted","23321100","0","0","0","0.0","112","133.4","0.0","0","0","7.389","36.08","0","0.653","17.6","0.0","0.152","59.45","0.89","0.261","2.227","3.93","6","0.283","4.98","28","260","311","267","8.59","0","3.04","0.478","0.0","0.75","1.5"
"Venison/deer steak","Venison/deer steak, cooked, NS as to cooking method","23321200","0","0","0","0.0","78","111.6","0.0","0","0","10.613","29.8","0","0.506","13.1","0.0","0.276","66.18","0.649","0.185","1.434","2.61","6","0.224","4.04","30","273","393","475","3.58","0","1.8","0.746","0.0","0.61","1.2"
"Venison/deer steak","Venison/deer steak, breaded or floured, cooked, NS as to cooking method","23321250","0","0","1","12.36","86","102.9","0.8","40","0","8.712","24.85","13","0.463","16.2","1.09","0.327","54.05","2.707","2.442","2.025","7.79","40","0.211","3.89","30","242","329","223","2.94","13","1.43","0.572","0.0","1.06","7.2"
"Venison/deer jerky","Venison/deer jerky","23321900","0","0","0","14.72","129","122.8","0.0","0","0","6.319","32.2","0","0.406","14.9","14.75","0.445","23.39","7.32","1.907","9.604","22.41","18","0.208","4.32","26","253","391","2955","6.22","0","1.94","0.343","0.0","0.74","1.8"
"Deer sausage","Deer sausage","23322100","6","11","11","4.29","57","29.7","0.0","0","11","2.321","10.91","17","0.065","11.6","2.05","0.03","55.31","12.198","1.182","10.487","26.13","21","0.053","1.29","13","154","351","1013","1.93","19","1.19","0.157","15.2","0.56","2.4"
"Deer chop","Deer chop, cooked","23322300","0","0","0","0.0","73","105.0","0.0","0","0","9.994","28.06","0","0.477","12.4","0.0","0.261","62.32","3.003","1.853","2.772","8.28","6","0.211","3.8","28","257","370","448","3.37","0","1.7","0.702","0.0","0.95","4.3"
"Venison/deer ribs","Venison/deer ribs, cooked","23322350","0","0","0","0.0","112","133.4","0.0","0","0","7.389","36.08","0","0.653","17.6","0.0","0.152","59.45","0.89","0.261","2.227","3.93","6","0.283","4.98","28","260","311","267","8.59","0","3.04","0.478","0.0","0.75","1.5"
"Venison/deer","Venison/deer, stewed","23322400","0","0","0","0.0","112","133.4","0.0","0","0","7.389","36.08","0","0.653","17.6","0.0","0.152","59.45","0.89","0.261","2.227","3.93","6","0.283","4.98","28","260","311","267","8.59","0","3.04","0.478","0.0","0.75","1.5"
"Moose","Moose, cooked","23323100","0","0","0","0.0","78","114.9","0.0","0","0","5.238","29.15","0","0.339","12.7","0.0","0.05","67.55","0.199","0.309","0.289","0.97","6","0.079","4.2","24","175","333","231","3.66","0","6.28","0.368","5.0","0.2","1.2"
"Bear","Bear, cooked","23323500","0","0","0","0.0","98","121.8","0.0","0","0","3.336","32.28","0","0.817","11.2","0.0","0.1","53.33","5.636","2.39","3.525","13.33","5","0.147","10.68","23","169","262","233","10.23","0","2.46","0.289","0.0","0.49","1.8"
"Caribou","Caribou, cooked","23324100","0","0","0","0.0","109","122.1","0.0","0","0","5.766","29.64","0","0.896","13.5","0.0","0.249","62.17","1.324","0.617","1.693","4.4","22","0.262","6.14","27","232","309","222","5.24","0","6.61","0.319","3.0","0.4","1.4"
"Bison","Bison, cooked","23326100","0","0","0","0.0","82","114.3","0.0","0","0","3.694","28.32","0","0.269","35.4","0.0","0.1","66.26","0.946","0.239","0.906","2.41","8","0.107","3.41","26","208","359","219","3.66","0","2.85","0.398","0.0","0.36","1.3"
"Ground hog","Ground hog, cooked","23331100","0","0","0","0.0","83","63.1","0.0","0","0","6.341","25.96","2","0.292","41.6","0.0","0.676","59.18","5.734","1.361","4.683","13.6","20","0.07","0.93","24","221","344","217","2.55","2","0.68","0.559","0.1","0.12","0.0"
"Opossum","Opossum, cooked","23332100","0","0","0","0.0","128","116.0","0.0","0","0","8.395","30.07","0","0.368","18.1","0.0","0.1","58.06","3.757","2.971","1.201","10.16","17","0.188","4.62","34","277","436","220","2.27","0","8.26","0.468","0.0","0.44","1.6"
"Squirrel","Squirrel, cooked","23333100","0","0","0","0.0","120","122.4","0.0","0","0","4.621","30.64","0","0.289","15.0","0.0","0.06","61.81","1.779","1.676","0.538","4.67","3","0.147","6.78","28","210","351","280","1.77","0","6.48","0.368","0.0","0.4","1.4"
"Beaver","Beaver, cooked","23334100","0","0","0","0.0","117","129.4","0.0","0","0","2.191","34.7","0","0.309","42.9","0.0","0.05","57.68","1.882","1.344","2.061","6.93","22","0.188","9.96","29","291","401","221","2.26","0","8.26","0.468","3.0","0.45","1.6"
"Raccoon","Raccoon, cooked","23335100","0","0","0","0.0","97","114.9","0.0","0","0","4.66","29.08","0","0.518","17.9","0.0","0.588","54.08","5.188","2.081","4.053","14.44","14","0.188","7.07","30","260","396","241","2.26","0","8.26","0.468","0.0","0.49","1.7"
"Armadillo","Armadillo, cooked","23340100","0","0","0","0.0","77","116.9","0.0","0","0","4.192","28.18","0","0.139","12.9","0.0","0.309","63.6","1.703","0.637","1.295","4.36","16","0.056","1.12","27","133","394","222","3.0","0","0.7","0.416","0.0","0.38","1.4"
"Wild pig","Wild pig, smoked","23345100","0","0","0","0.0","76","115.3","0.0","0","0","4.136","27.8","0","0.138","12.8","0.0","0.305","62.75","1.68","0.629","1.277","4.3","17","0.055","1.1","27","132","389","743","2.96","0","0.69","0.411","0.0","0.37","1.4"
"Ostrich","Ostrich, cooked","23350100","0","0","0","0.0","82","65.2","0.0","0","0","6.502","25.93","0","0.266","33.2","0.0","0.211","66.56","2.138","0.733","1.778","7.01","8","0.135","3.4","23","222","320","402","4.29","0","5.69","0.497","0.0","0.24","3.5"
"Lamb","Lamb, baby food, strained","23410010","0","0","0","0.85","36","54.7","0.0","0","0","2.908","14.07","0","0.174","2.2","0.0","0.02","81.06","1.27","0.31","1.65","3.41","7","0.148","1.19","13","104","193","43","2.43","0","1.9","0.037","1.2","0.19","0.6"
"Veal","Veal, baby food, strained","23420010","0","0","0","1.51","33","49.5","0.0","0","0","2.85","13.12","0","0.116","3.5","0.0","0.023","82.37","1.054","0.157","1.063","2.45","6","0.148","0.76","11","98","170","39","2.5","0","1.65","0.049","0.0","0.28","0.0"
"Chicken","Chicken, NS as to part and cooking method, NS as to skin eaten","24100000","0","0","0","0.0","112","66.3","0.0","0","0","7.598","26.79","8","0.182","24.0","0.0","0.07","66.02","2.706","0.937","1.579","6.36","14","0.064","0.73","23","237","279","345","1.61","8","0.36","0.247","0.0","0.41","0.0"
"Chicken","Chicken, NS as to part and cooking method, skin eaten","24100010","0","0","0","0.1","113","62.1","0.0","0","0","7.564","25.07","15","0.182","22.9","0.1","0.068","63.3","4.449","1.388","2.728","10.65","17","0.06","0.74","23","236","270","343","1.47","15","0.39","0.25","0.0","0.4","0.0"
"Chicken","Chicken, NS as to part and cooking method, skin not eaten","24100020","0","0","0","0.0","112","66.3","0.0","0","0","7.598","26.79","8","0.182","24.0","0.0","0.07","66.02","2.706","0.937","1.579","6.36","14","0.064","0.73","23","237","279","345","1.61","8","0.36","0.247","0.0","0.41","0.0"
"Chicken","Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten","24102000","0","0","0","0.0","115","74.0","0.0","0","0","8.122","27.32","8","0.216","29.0","0.0","0.092","65.95","1.899","1.03","1.366","5.32","8","0.058","0.79","26","223","311","353","1.54","8","0.29","0.655","0.0","0.46","1.9"
"Chicken","Chicken, NS as to part, baked, broiled, or roasted, skin eaten","24102010","0","0","0","0.0","114","65.9","0.0","7","0","7.153","24.7","16","0.187","26.1","0.0","0.082","63.26","4.318","2.165","2.914","10.8","9","0.055","0.81","23","201","273","338","1.43","16","0.3","0.549","0.0","0.39","1.9"
"Chicken","Chicken, NS as to part, baked, broiled, or roasted, skin not eaten","24102020","0","0","0","0.0","115","74.0","0.0","0","0","8.122","27.32","8","0.216","29.0","0.0","0.092","65.95","1.899","1.03","1.366","5.32","8","0.058","0.79","26","223","311","353","1.54","8","0.29","0.655","0.0","0.46","1.9"
"Chicken","Chicken, NS as to part, rotisserie, NS as to skin eaten","24102050","0","0","0","0.0","112","66.3","0.0","0","0","7.598","26.79","8","0.182","24.0","0.0","0.07","66.02","2.706","0.937","1.579","6.36","14","0.064","0.73","23","237","279","345","1.61","8","0.36","0.247","0.0","0.41","0.0"
"Chicken","Chicken, NS as to part, rotisserie, skin eaten","24102060","0","0","0","0.1","113","62.1","0.0","0","0","7.564","25.07","15","0.182","22.9","0.1","0.068","63.3","4.449","1.388","2.728","10.65","17","0.06","0.74","23","236","270","343","1.47","15","0.39","0.25","0.0","0.4","0.0"
"Chicken","Chicken, NS as to part, rotisserie, skin not eaten","24102070","0","0","0","0.0","112","66.3","0.0","0","0","7.598","26.79","8","0.182","24.0","0.0","0.07","66.02","2.706","0.937","1.579","6.36","14","0.064","0.73","23","237","279","345","1.61","8","0.36","0.247","0.0","0.41","0.0"
"Chicken","Chicken, NS as to part, stewed, NS as to skin eaten","24103000","0","0","0","0.0","113","70.3","0.0","0","0","7.482","26.03","8","0.189","28.4","0.0","0.084","67.19","1.921","0.973","1.366","5.38","9","0.049","0.77","25","202","293","366","1.48","8","0.29","0.607","0.0","0.43","0.1"
"Chicken","Chicken, NS as to part, stewed, skin eaten","24103010","0","0","0","0.0","113","62.7","0.0","9","0","6.626","23.58","15","0.164","25.6","0.0","0.075","64.26","4.352","2.133","2.925","10.86","9","0.047","0.8","22","182","258","356","1.36","15","0.29","0.512","0.0","0.36","0.4"
"Chicken","Chicken, NS as to part, stewed, skin not eaten","24103020","0","0","0","0.0","113","70.3","0.0","0","0","7.482","26.03","8","0.189","28.4","0.0","0.084","67.19","1.921","0.973","1.366","5.38","9","0.049","0.77","25","202","293","366","1.48","8","0.29","0.607","0.0","0.43","0.1"
"Chicken","Chicken, NS as to part, grilled without sauce, NS as to skin eaten","24103050","0","0","0","0.0","112","72.4","0.0","0","0","7.954","26.74","8","0.212","28.4","0.0","0.09","64.57","2.692","1.828","1.609","7.2","8","0.057","0.77","25","218","304","386","1.5","8","0.29","0.641","0.0","0.69","4.2"
"Chicken","Chicken, NS as to part, grilled without sauce, skin eaten","24103055","0","0","0","0.0","112","64.5","0.0","7","0","7.005","24.19","16","0.183","25.5","0.0","0.08","61.93","5.06","2.94","3.125","12.57","9","0.054","0.8","22","196","268","372","1.4","16","0.29","0.538","0.0","0.62","4.2"
"Chicken","Chicken, NS as to part, grilled without sauce, skin not eaten","24103060","0","0","0","0.0","112","72.4","0.0","0","0","7.954","26.74","8","0.212","28.4","0.0","0.09","64.57","2.692","1.828","1.609","7.2","8","0.057","0.77","25","218","304","386","1.5","8","0.29","0.641","0.0","0.69","4.2"
"Chicken","Chicken, NS as to part, grilled with sauce, NS as to skin eaten","24103070","0","24","0","7.31","92","60.4","0.2","16","816","6.6","21.98","6","0.183","23.4","5.96","0.078","62.52","2.366","1.661","1.372","6.36","13","0.06","0.75","23","182","290","527","1.26","8","0.23","0.537","0.1","0.75","4.2"
"Chicken","Chicken, NS as to part, grilled with sauce, skin eaten","24103075","0","24","0","7.31","91","53.9","0.2","22","816","5.825","19.89","13","0.16","21.1","5.96","0.069","60.36","4.298","2.569","2.609","10.74","13","0.057","0.76","21","164","260","516","1.17","15","0.24","0.452","0.1","0.69","4.2"
"Chicken","Chicken, NS as to part, grilled with sauce, skin not eaten","24103080","0","24","0","7.31","92","60.4","0.2","16","816","6.6","21.98","6","0.183","23.4","5.96","0.078","62.52","2.366","1.661","1.372","6.36","13","0.06","0.75","23","182","290","527","1.26","8","0.23","0.537","0.1","0.75","4.2"
"Chicken","Chicken, NS as to part, sauteed, skin eaten","24104049","0","0","0","0.0","112","64.5","0.0","7","0","7.005","24.19","16","0.183","25.5","0.0","0.08","61.93","5.06","2.94","3.125","12.57","9","0.054","0.8","22","196","268","372","1.4","16","0.29","0.538","0.0","0.62","4.2"
"Chicken","Chicken, NS as to part, sauteed, skin not eaten","24104051","0","0","0","0.0","112","72.4","0.0","0","0","7.954","26.74","8","0.212","28.4","0.0","0.09","64.57","2.692","1.828","1.609","7.2","8","0.057","0.77","25","218","304","386","1.5","8","0.29","0.641","0.0","0.69","4.2"
"Chicken","Chicken, NS as to part, fried, coated, skin / coating eaten","24107070","0","0","0","7.14","100","78.0","0.2","0","0","6.651","21.75","14","0.247","27.4","0.0","0.096","53.52","6.838","2.796","3.999","15.02","44","0.089","0.86","24","216","264","671","1.26","14","0.4","0.228","0.0","0.49","0.0"
"Chicken","Chicken, NS as to part, fried, coated, skin / coating not eaten","24107071","0","0","0","0.07","113","99.7","0.0","0","0","7.378","26.18","8","0.278","32.5","0.0","0.096","65.14","2.799","1.203","1.736","6.58","22","0.071","0.75","25","222","286","528","1.57","8","0.45","0.277","0.0","0.31","0.0"
"Chicken","Chicken, NS as to part, baked, coated, skin / coating eaten","24107080","0","0","0","7.14","100","78.0","0.2","0","0","6.651","21.75","14","0.247","27.4","0.0","0.096","53.52","6.838","2.796","3.999","15.02","44","0.089","0.86","24","216","264","671","1.26","14","0.4","0.228","0.0","0.49","0.0"
"Chicken","Chicken, NS as to part, baked, coated, skin / coating not eaten","24107081","0","0","0","0.07","113","99.7","0.0","0","0","7.378","26.18","8","0.278","32.5","0.0","0.096","65.14","2.799","1.203","1.736","6.58","22","0.071","0.75","25","222","286","528","1.57","8","0.45","0.277","0.0","0.31","0.0"
"Chicken breast","Chicken breast, NS as to cooking method, skin eaten","24120110","0","0","0","0.09","90","57.1","0.0","0","0","9.303","26.37","11","0.139","22.3","0.09","0.078","65.19","3.131","0.945","1.958","7.67","16","0.041","0.51","25","244","276","329","0.86","11","0.3","0.307","0.0","0.33","0.0"
"Chicken breast","Chicken breast, NS as to cooking method, skin not eaten","24120120","0","0","0","0.0","86","59.8","0.0","0","0","9.634","28.04","5","0.131","23.1","0.0","0.081","67.78","1.444","0.49","0.863","3.57","13","0.041","0.46","25","246","284","328","0.87","5","0.27","0.314","0.0","0.32","0.0"
"Chicken breast","Chicken breast, baked, broiled, or roasted, skin eaten, from raw","24122130","0","1","0","0.0","97","64.5","0.0","0","0","8.706","26.25","18","0.18","26.4","0.0","0.074","63.16","3.251","1.717","2.287","8.8","7","0.044","0.53","24","195","298","336","0.89","18","0.17","0.699","0.0","0.59","0.5"
"Chicken breast","Chicken breast, baked, broiled, or roasted, skin not eaten, from raw","24122131","0","0","0","0.0","98","77.2","0.0","0","0","10.316","30.22","9","0.214","30.6","0.0","0.088","64.14","0.926","0.57","0.756","3.52","7","0.047","0.45","28","229","359","360","0.91","9","0.18","0.872","0.0","0.75","0.0"
"Chicken breast","Chicken breast, baked or broiled, skin eaten, from pre-cooked","24122140","0","0","0","0.09","90","57.1","0.0","0","0","9.303","26.37","11","0.139","22.3","0.09","0.078","65.19","3.131","0.945","1.958","7.67","16","0.041","0.51","25","244","276","329","0.86","11","0.3","0.307","0.0","0.33","0.0"
"Chicken breast","Chicken breast, baked or broiled, skin not eaten, from pre-cooked","24122141","0","0","0","0.0","86","59.8","0.0","0","0","9.634","28.04","5","0.131","23.1","0.0","0.081","67.78","1.444","0.49","0.863","3.57","13","0.041","0.46","25","246","284","328","0.87","5","0.27","0.314","0.0","0.32","0.0"
"Chicken breast","Chicken breast, baked or broiled, skin eaten, from fast food / restaurant","24122150","0","1","0","0.0","95","63.1","0.0","0","0","8.515","25.67","17","0.176","25.8","0.0","0.072","61.77","4.016","2.501","2.51","10.6","7","0.043","0.52","23","191","291","406","0.87","17","0.17","0.684","0.0","0.81","2.9"
"Chicken breast","Chicken breast, baked or broiled, skin not eaten, from fast food / restaurant","24122151","0","0","0","0.0","96","75.5","0.0","0","0","10.09","29.56","9","0.209","30.0","0.0","0.086","62.73","1.742","1.38","1.012","5.44","7","0.046","0.44","28","224","351","430","0.89","9","0.18","0.853","0.0","0.97","2.4"
"Chicken breast","Chicken breast, baked, broiled, or roasted with marinade, skin eaten, from raw","24122160","0","1","0","0.31","94","62.3","0.0","0","0","8.383","25.32","17","0.174","25.3","0.28","0.072","61.99","3.959","2.472","2.469","10.45","8","0.044","0.55","24","190","290","399","0.86","17","0.16","0.673","0.0","0.8","2.9"
"Chicken breast","Chicken breast, baked, broiled, or roasted with marinade, skin not eaten, from raw","24122161","0","0","0","0.31","94","74.5","0.0","0","0","9.929","29.13","9","0.207","29.4","0.28","0.085","62.92","1.727","1.371","0.999","5.38","7","0.047","0.47","28","223","349","423","0.88","9","0.18","0.839","0.0","0.96","2.4"
"Chicken breast","Chicken breast, rotisserie, skin eaten","24122170","0","0","0","0.09","90","57.1","0.0","0","0","9.303","26.37","11","0.139","22.3","0.09","0.078","65.19","3.131","0.945","1.958","7.67","16","0.041","0.51","25","244","276","329","0.86","11","0.3","0.307","0.0","0.33","0.0"
"Chicken breast","Chicken breast, rotisserie, skin not eaten","24122171","0","0","0","0.0","86","59.8","0.0","0","0","9.634","28.04","5","0.131","23.1","0.0","0.081","67.78","1.444","0.49","0.863","3.57","13","0.041","0.46","25","246","284","328","0.87","5","0.27","0.314","0.0","0.32","0.0"
"Chicken breast","Chicken breast, stewed, skin eaten","24123110","0","1","0","0.0","92","60.7","0.0","0","0","8.194","24.7","17","0.169","24.8","0.0","0.069","65.33","3.06","1.616","2.152","8.28","7","0.042","0.5","23","183","280","316","0.84","17","0.16","0.658","0.0","0.56","0.5"
"Chicken breast","Chicken breast, stewed, skin not eaten","24123120","0","0","0","0.0","91","71.4","0.0","0","0","9.543","27.96","8","0.198","28.3","0.0","0.082","66.83","0.856","0.527","0.7","3.26","6","0.044","0.41","26","212","332","333","0.84","8","0.17","0.806","0.0","0.7","0.0"
"Chicken breast","Chicken breast, grilled without sauce, skin eaten","24123300","0","1","0","0.0","95","63.2","0.0","0","0","8.532","25.72","17","0.176","25.8","0.0","0.073","61.9","4.024","2.506","2.515","10.62","7","0.043","0.53","24","191","292","329","0.87","17","0.17","0.685","0.0","0.81","2.9"
"Chicken breast","Chicken breast, grilled without sauce, skin not eaten","24123301","0","0","0","0.0","96","75.7","0.0","0","0","10.11","29.62","9","0.21","30.0","0.0","0.086","62.85","1.745","1.382","1.014","5.45","7","0.046","0.44","28","224","352","353","0.9","9","0.18","0.855","0.0","0.97","2.4"
"Chicken breast","Chicken breast, grilled with sauce, skin eaten","24123310","0","25","0","7.34","78","52.9","0.2","16","819","7.072","21.15","14","0.154","21.3","5.98","0.063","60.38","3.453","2.216","2.111","9.15","12","0.048","0.55","22","160","280","454","0.74","16","0.14","0.573","0.1","0.85","3.1"
"Chicken breast","Chicken breast, grilled with sauce, skin not eaten","24123311","0","24","0","7.34","78","63.0","0.2","16","819","8.36","24.33","7","0.181","24.7","5.98","0.075","61.16","1.593","1.298","0.886","4.93","11","0.051","0.48","25","187","329","473","0.76","9","0.15","0.711","0.1","0.98","2.7"
"Chicken breast","Chicken breast, sauteed, skin eaten","24124200","0","1","0","0.0","95","63.2","0.0","0","0","8.532","25.72","17","0.176","25.8","0.0","0.073","61.9","4.024","2.506","2.515","10.62","7","0.043","0.53","24","191","292","329","0.87","17","0.17","0.685","0.0","0.81","2.9"
"Chicken breast","Chicken breast, sauteed, skin not eaten","24124201","0","0","0","0.0","96","75.7","0.0","0","0","10.11","29.62","9","0.21","30.0","0.0","0.086","62.85","1.745","1.382","1.014","5.45","7","0.046","0.44","28","224","352","353","0.9","9","0.18","0.855","0.0","0.97","2.4"
"Chicken breast","Chicken breast, fried, coated, skin / coating eaten, from raw","24127200","0","1","0","5.95","79","53.5","0.2","5","0","7.264","21.42","15","0.182","23.4","0.1","0.122","56.99","5.515","4.291","2.792","14.07","13","0.048","0.81","21","164","243","299","0.77","15","0.15","0.551","0.0","1.3","8.8"
"Chicken breast","Chicken breast, fried, coated, skin / coating not eaten, from raw","24127201","0","0","0","0.0","96","75.7","0.0","0","0","10.11","29.62","9","0.21","30.0","0.0","0.086","62.85","1.745","1.382","1.014","5.45","7","0.046","0.44","28","224","352","353","0.9","9","0.18","0.855","0.0","0.97","2.4"
"Chicken breast","Chicken breast, fried, coated, prepared skinless, coating eaten, from raw","24127202","0","0","0","5.95","79","63.4","0.2","5","0","8.519","24.52","8","0.208","26.7","0.1","0.133","57.76","3.702","3.397","1.597","9.95","12","0.051","0.75","24","190","291","318","0.79","8","0.15","0.686","0.0","1.42","8.4"
"Chicken breast","Chicken breast, fried, coated, skin / coating eaten, from pre-cooked","24127210","0","1","0","7.13","76","51.5","0.3","6","0","7.003","20.54","15","0.182","22.8","0.12","0.132","55.96","5.808","4.644","2.844","14.74","14","0.049","0.87","20","158","233","331","0.75","15","0.14","0.524","0.0","1.39","10.0"
"Chicken breast","Chicken breast, fried, coated, skin / coating not eaten, from pre-cooked","24127211","0","0","0","0.0","96","75.7","0.0","0","0","10.11","29.62","9","0.21","30.0","0.0","0.086","62.85","1.745","1.382","1.014","5.45","7","0.046","0.44","28","224","352","353","0.9","9","0.18","0.855","0.0","0.97","2.4"
"Chicken breast","Chicken breast, fried, coated, skin / coating eaten, from fast food / restaurant","24127220","0","0","0","10.65","75","64.7","0.3","5","0","6.611","19.29","9","0.219","25.6","0.1","0.145","50.98","7.668","4.564","3.594","16.91","42","0.064","0.96","22","191","231","549","0.79","9","0.25","0.211","0.0","1.21","8.4"
"Chicken breast","Chicken breast, fried, coated, skin / coating not eaten, from fast food / restaurant","24127221","0","0","0","5.95","79","78.5","0.2","5","0","7.516","22.73","4","0.222","29.4","0.1","0.145","58.9","4.602","3.584","1.928","10.75","25","0.059","0.82","24","197","249","436","0.83","4","0.25","0.259","0.0","1.04","8.4"
"Chicken breast","Chicken breast, baked, coated, skin / coating eaten","24127500","0","1","0","3.96","88","58.9","0.2","3","0","7.977","23.73","16","0.186","25.1","0.07","0.108","60.73","3.73","2.381","2.32","9.88","11","0.048","0.73","23","179","269","320","0.84","16","0.16","0.619","0.0","0.76","2.9"
"Chicken breast","Chicken breast, baked, coated, skin / coating not eaten","24127501","0","0","0","0.0","96","75.7","0.0","0","0","10.11","29.62","9","0.21","30.0","0.0","0.086","62.85","1.745","1.382","1.014","5.45","7","0.046","0.44","28","224","352","353","0.9","9","0.18","0.855","0.0","0.97","2.4"
"Chicken leg","Chicken leg, drumstick and thigh, NS as to cooking method, skin eaten","24130210","0","0","0","0.12","136","67.1","0.0","0","0","5.826","23.77","19","0.226","23.5","0.12","0.058","61.41","5.768","1.832","3.498","13.63","18","0.079","0.98","22","229","265","358","2.08","19","0.48","0.193","0.0","0.48","0.0"
"Chicken leg","Chicken leg, drumstick and thigh, NS as to cooking method, skin not eaten","24130220","0","0","0","0.0","139","72.8","0.0","0","0","5.563","25.54","12","0.232","24.8","0.0","0.059","64.25","3.967","1.384","2.295","9.15","16","0.086","1.0","22","229","274","362","2.34","12","0.46","0.179","0.0","0.5","0.0"
"Chicken leg","Chicken leg, drumstick and thigh, baked or broiled, skin eaten","24132230","0","0","0","0.0","131","67.3","0.0","15","0","5.601","23.16","14","0.194","25.8","0.0","0.089","63.35","5.384","2.613","3.541","12.81","10","0.066","1.08","22","206","249","341","1.97","14","0.42","0.399","0.0","0.19","3.2"
"Chicken leg","Chicken leg, drumstick and thigh, baked or broiled, skin not eaten","24132231","0","0","0","0.0","131","70.8","0.0","0","0","5.928","24.41","7","0.218","27.3","0.0","0.096","67.77","2.872","1.489","1.977","7.13","10","0.069","1.13","23","217","262","345","2.16","7","0.4","0.437","0.0","0.18","3.7"
"Chicken leg","Chicken leg, drumstick and thigh, rotisserie, skin eaten","24132240","0","0","0","0.12","136","67.1","0.0","0","0","5.826","23.77","19","0.226","23.5","0.12","0.058","61.41","5.768","1.832","3.498","13.63","18","0.079","0.98","22","229","265","358","2.08","19","0.48","0.193","0.0","0.48","0.0"
"Chicken leg","Chicken leg, drumstick and thigh, rotisserie, skin not eaten","24132241","0","0","0","0.0","139","72.8","0.0","0","0","5.563","25.54","12","0.232","24.8","0.0","0.059","64.25","3.967","1.384","2.295","9.15","16","0.086","1.0","22","229","274","362","2.34","12","0.46","0.179","0.0","0.5","0.0"
"Chicken leg","Chicken leg, drumstick and thigh, stewed, skin eaten","24133210","0","0","0","0.0","135","64.8","0.0","17","0","5.058","22.45","14","0.159","26.3","0.0","0.081","63.19","5.645","2.649","3.698","13.44","12","0.052","1.09","22","182","237","396","1.89","14","0.42","0.367","0.0","0.17","0.3"
"Chicken leg","Chicken leg, drumstick and thigh, stewed, skin not eaten","24133220","0","0","0","0.0","134","69.2","0.0","0","0","5.422","24.1","8","0.18","28.5","0.0","0.087","67.54","2.986","1.418","2.031","7.5","12","0.054","1.13","24","193","253","399","2.12","8","0.41","0.407","0.0","0.17","0.3"
"Chicken leg","Chicken leg, drumstick and thigh, grilled without sauce, skin eaten","24134100","0","0","0","0.0","128","65.8","0.0","14","0","5.479","22.65","14","0.19","25.2","0.0","0.087","61.96","6.101","3.375","3.738","14.52","10","0.064","1.06","21","202","244","414","1.93","14","0.41","0.391","0.0","0.42","5.5"
"Chicken leg","Chicken leg, drumstick and thigh, grilled without sauce, skin not eaten","24134101","0","0","0","0.0","128","69.2","0.0","0","0","5.8","23.87","7","0.213","26.7","0.0","0.094","66.28","3.642","2.274","2.206","8.96","10","0.068","1.11","23","212","257","419","2.11","7","0.39","0.428","0.0","0.41","6.0"
"Chicken leg","Chicken leg, drumstick and thigh, grilled with sauce, skin eaten","24134150","0","24","0","7.28","105","55.0","0.2","27","812","4.579","18.64","11","0.165","20.8","5.94","0.076","60.35","5.144","2.922","3.107","12.32","14","0.065","0.98","20","168","240","578","1.6","13","0.33","0.332","0.1","0.53","5.2"
"Chicken leg","Chicken leg, drumstick and thigh, grilled with sauce, skin not eaten","24134151","0","24","0","7.28","105","57.8","0.2","16","812","4.84","19.63","6","0.184","22.1","5.94","0.081","63.88","3.138","2.024","1.858","7.79","14","0.068","1.02","21","177","251","582","1.76","8","0.32","0.363","0.1","0.52","5.6"
